huc8_digit,huc8_name,num_of_tiles,API_URL
01010002,Allagash River,0,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01010002&max=150
01010003,Fish River,8,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01010003&max=150
01010004,Aroostook River,12,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01010004&max=150
01010005,Meduxnekeag River,7,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01010005&max=150
01010006,Headwaters Saint John River,-999,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01010006&max=150
01010007,Big Black River-Saint John River,-999,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01010007&max=150
01010008,Saint Francis River-Saint John River,-999,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01010008&max=150
01010009,Little River-Saint John River,-999,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01010009&max=150
01010010,Becaguimec Stream-Saint John River,-999,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01010010&max=150
01010011,Keswick River-Saint John River,-999,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01010011&max=150
01020001,West Branch Penobscot River,0,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01020001&max=150
01020002,East Branch Penobscot River,0,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01020002&max=150
01020003,Mattawamkeag River,4,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01020003&max=150
01020004,Piscataquis River,3,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01020004&max=150
01020005,Penobscot River,16,https://tnmaccess.nationalmap.gov/api/v1/products?f=json&datasets=National+Elevation+Dataset+%28NED%29+1%2F9+arc-second&polyType=huc8&polyCode=01020005&max=150
